Date,Close,High,Low,Open,Volume
1980-03-18,1.8207,1.8501,1.8207,1.8207,9343
1980-03-19,1.8207,1.8207,1.8207,1.8207,0
1980-03-20,1.8207,1.8501,1.8207,1.8207,10277
1980-03-21,1.8649,1.8944,1.8649,1.8649,8409
1980-03-24,1.8723,1.9017,1.8723,1.8723,2803
1980-03-25,1.8575,1.887,1.8575,1.8723,27095
1980-03-26,1.8575,1.887,1.8575,1.8575,1869
1980-03-27,1.8354,1.8649,1.8354,1.8575,14015
1980-03-28,1.828,1.8575,1.828,1.8354,36438
1980-03-31,1.828,1.8575,1.828,1.828,1869
1980-04-01,1.7985,1.828,1.7985,1.828,2803
1980-04-02,1.7838,1.8133,1.7838,1.7985,6540
1980-04-03,1.7838,1.7838,1.7838,1.7838,0
1980-04-07,1.7838,1.8133,1.7838,1.7838,934
1980-04-08,1.7838,1.8133,1.7838,1.7838,44846
1980-04-09,1.8428,1.8723,1.8428,1.8428,42044
1980-04-10,1.8649,1.8944,1.8649,1.8649,35503
1980-04-11,1.8575,1.887,1.8575,1.8649,59795
1980-04-14,1.8575,1.8575,1.8575,1.8575,0
1980-04-15,1.9165,1.946,1.9165,1.9165,1869
1980-04-16,1.9165,1.946,1.9165,1.9165,61664
1980-04-17,1.9165,1.9165,1.9165,1.9165,0
1980-04-18,1.887,1.9165,1.887,1.9165,1869
1980-04-21,1.887,1.9165,1.887,1.887,5606
1980-04-22,1.887,1.887,1.887,1.887,0
1980-04-23,1.9238,1.9533,1.9238,1.9238,24292
1980-04-24,1.9386,1.9681,1.9386,1.9386,934
1980-04-25,1.9533,1.9828,1.9533,1.9533,9343
1980-04-28,1.9754,2.0049,1.9754,1.9754,2803
1980-04-29,2.0049,2.0344,2.0049,2.0049,74744
1980-04-30,2.0123,2.0418,2.0123,2.0123,3737
1980-05-01,2.0197,2.0492,2.0197,2.0197,934
1980-05-02,2.0197,2.0197,2.0197,2.0197,0
1980-05-05,2.0344,2.0639,2.0344,2.0344,14015
1980-05-06,2.0786,2.1081,2.0786,2.0786,5606
1980-05-07,2.0786,2.0786,2.0786,2.0786,0
1980-05-08,2.086,2.1155,2.086,2.086,7474
1980-05-09,2.0934,2.1229,2.0934,2.0934,15883
1980-05-12,2.1376,2.1671,2.1376,2.1376,41109
1980-05-13,2.1376,2.1671,2.1376,2.1376,1869
1980-05-14,2.1376,2.1671,2.1376,2.1376,7474
1980-05-15,2.1376,2.1376,2.1376,2.1376,0
1980-05-16,2.086,2.1155,2.086,2.1155,55124
1980-05-19,2.1081,2.1376,2.1081,2.1081,29898
1980-05-20,2.1524,2.1818,2.1524,2.1524,934
1980-05-21,2.1671,2.1966,2.1671,2.1671,5606
1980-05-22,2.1671,2.1966,2.1671,2.1671,3737
1980-05-23,2.1892,2.2187,2.1892,2.1892,13080
1980-05-27,2.2113,2.2408,2.2113,2.2113,5606
1980-05-28,2.1818,2.2113,2.1818,2.2113,4672
1980-05-29,2.1818,2.1818,2.1818,2.1818,0
